,dataset_size,nmad,sigma_3,sigma_5,mean_res,max_res
0,1859.0,0.03284199889992756,11.183144246353322,7.779578606158834,0.00014497674740722617,0.0009587804274769472
0,1673.0,0.03570995392184874,11.507293354943274,6.807131280388978,0.0005114184068425784,0.0020072646727933323
0,1487.0,0.036156508278472374,11.9935170178282,8.427876823338735,0.0009591461535447348,0.003095967598461854
0,1301.0,0.03850209106281421,12.155591572123177,7.6175040518638575,0.0009266497804409797,0.0024442824033165346
0,1115.0,0.03746478304913061,14.935064935064934,10.064935064935066,0.0018010595726797075,0.005986398102119343
0,929.0,0.03676248396859977,13.12803889789303,8.589951377633712,0.0013483377779948712,0.004066429734444907
0,743.0,0.03803679910663696,12.80388978930308,9.238249594813615,0.0009995574582154847,0.004623790020138862
0,557.0,0.037409911204074525,12.80388978930308,8.26580226904376,0.0020773154156016427,0.006066765279812222
0,371.0,0.04006035551602582,16.207455429497568,11.183144246353322,0.0031440489113896317,0.008746540641412249
0,185.0,0.046751858874183164,25.44570502431118,15.721231766612643,0.009715306837680404,0.022970244383327686
0,1859.0,0.03174957432773419,11.831442463533225,7.779578606158834,0.00013321932417757878,0.0009929911368672295
0,1673.0,0.03574014591753117,11.9935170178282,7.293354943273905,0.0005093895624031472,0.0019179564562596188
0,1487.0,0.03541603613342824,11.345218800648297,7.941653160453808,0.0009352719577703651,0.0031297102117418423
0,1301.0,0.03629737632032436,13.290113452188008,8.914100486223662,0.0008097162676407805,0.0019251111250495137
0,1115.0,0.03733202973232459,14.772727272727273,9.902597402597403,0.0017268675028597603,0.006322161312302444
0,929.0,0.03677664761784,13.614262560777956,8.914100486223662,0.0012237352480361215,0.003695859009607061
0,743.0,0.03899799564785596,12.641815235008103,8.427876823338735,0.0010452192108294598,0.003997384007692253
0,557.0,0.037314174071865595,13.614262560777956,10.21069692058347,0.002055999865319823,0.005401791373330451
0,371.0,0.04126527598876234,16.369529983792543,10.696920583468396,0.0031408649339971927,0.008833300642550617
0,185.0,0.04645009184028489,25.60777957860616,15.559157212317668,0.009738513215677695,0.021147472725010358
0,1859.0,0.03284199889992756,11.183144246353322,7.779578606158834,0.00014497674740722617,0.0009587804274769472
0,1673.0,0.035056483806601965,13.452188006482983,8.26580226904376,0.00046949996587199817,0.0016123695632269328
0,1487.0,0.03541722740569845,10.696920583468396,7.293354943273905,0.0009158706714888643,0.0034482100889676216
0,1301.0,0.035176424204463805,12.987012987012985,8.279220779220779,0.0007044654816678045,0.0022529821559057694
0,1115.0,0.03741625374759111,14.61038961038961,9.415584415584416,0.0016819632015667703,0.0063833409328309864
0,929.0,0.03663464529587694,13.290113452188008,8.752025931928689,0.001263079032491138,0.004046015367623677
0,743.0,0.038869271738138256,12.317666126418152,8.427876823338735,0.0010541465337108402,0.003792790257487027
0,557.0,0.03643817474742761,12.80388978930308,8.427876823338735,0.0020972405558984247,0.00565882524584457
0,371.0,0.03943357567542671,16.369529983792543,10.85899513776337,0.0029182082384194646,0.0091880819259594
0,185.0,0.04669030407064796,26.094003241491087,16.369529983792543,0.009709620579257977,0.021222148111384242
0,1859.0,0.031970120463601356,11.66936790923825,8.26580226904376,0.00015423831927669017,0.0009079581511241009
0,1673.0,0.03574311738553727,12.155591572123177,7.13128038897893,0.0005297546122691042,0.0019854960093110825
0,1487.0,0.035617914139017715,11.507293354943274,8.103727714748784,0.0008807977174964703,0.002899514608942675
0,1301.0,0.032453033893272934,13.636363636363635,8.766233766233766,0.0005163642651408933,0.002428080927051912
0,1115.0,0.037870710717059046,14.935064935064934,9.415584415584416,0.0014753533673098273,0.005766473055107083
0,929.0,0.0355923272233119,13.290113452188008,8.427876823338735,0.0011704267494170657,0.00382869380975713
0,743.0,0.0394787498093193,12.317666126418152,8.589951377633712,0.001037141374375169,0.0039009432378588377
0,557.0,0.0383202044159274,14.424635332252835,11.021069692058347,0.0021056204556699136,0.005484401824138531
0,371.0,0.04005750038732259,16.85575364667747,11.021069692058347,0.0032651019425842605,0.008616881539650153
0,185.0,0.0469745555400986,25.44570502431118,15.883306320907616,0.009626926379065846,0.020462934150513114
0,1859.0,0.03212081317025625,11.345218800648297,8.103727714748784,0.0001431112426361436,0.0009974608555179752
0,1673.0,0.03574311738553727,12.155591572123177,7.13128038897893,0.0005297546122691042,0.0019854960093110825
0,1487.0,0.03471625022963818,11.66936790923825,7.293354943273905,0.0009509750772052928,0.003143941743415528
0,1301.0,0.03524301392744736,12.479740680713128,8.26580226904376,0.0007235400599225363,0.0018339775135343698
0,1115.0,0.0372506208941774,14.285714285714285,8.928571428571429,0.0015839111707170157,0.005643413139952443
0,929.0,0.03630030311990145,12.80388978930308,8.427876823338735,0.0011731031378426097,0.0038465964986106006
0,743.0,0.039733849823404645,12.479740680713128,8.427876823338735,0.0010239514348078255,0.0036534177724860287
0,557.0,0.03550374994674697,12.175324675324676,8.441558441558442,0.002096658812724485,0.0068489571554802885
0,371.0,0.04134690428641137,16.53160453808752,11.021069692058347,0.003220700744082575,0.008418912961359331
0,185.0,0.046636778733585536,25.93192868719611,16.045380875202593,0.009682788872780346,0.020744116303407608
0,1859.0,0.032141723461412544,11.85064935064935,8.116883116883116,0.00014299195545727452,0.0008970792166654737
0,1673.0,0.036117897290567136,11.66936790923825,7.13128038897893,0.0005820162920034729,0.0025694422660846985
0,1487.0,0.034788138502079055,11.183144246353322,7.455429497568882,0.0009679655802583837,0.0031339294537004246
0,1301.0,0.036803534330950065,11.9935170178282,7.293354943273905,0.0008229004645490328,0.0019526103753916052
0,1115.0,0.036969391750789816,14.100486223662884,9.076175040518638,0.00145948384259138,0.005868759308087038
0,929.0,0.03630030311990145,12.80388978930308,8.427876823338735,0.0011731031378426097,0.0038465964986106006
0,743.0,0.039656106270806554,12.479740680713128,8.752025931928689,0.0010347016891472224,0.00375699018245534
