,pc0,pc1,nmad,sigma_3,sigma_5,mean_res,max_res
0,0.0,0.0,0.026087742770703106,15.39708265802269,9.562398703403566,0.004329585769951863,0.008940150180339817
0,0.0,0.001,0.02481878060026389,15.235008103727715,9.724473257698541,0.00759687891005457,0.022130189052563903
0,0.0,0.005,0.027301132195962866,13.938411669367909,7.6175040518638575,0.0059696679359030535,0.016968748935648103
0,0.0,0.01,0.026710349805701427,12.965964343598054,6.482982171799027,0.0056276597827405895,0.016932142597772704
0,0.0,0.02,0.023825847099940154,11.021069692058347,6.158833063209076,0.0008779745691708241,0.002544504953878516
0,0.005,0.0,0.027343865061635116,14.100486223662884,8.103727714748784,0.004710753798373451,0.013809289266579051
0,0.005,0.001,0.02660750804007582,14.748784440842789,7.941653160453808,0.004696396588086332,0.012319033306970961
0,0.005,0.005,0.026864896742672947,12.80388978930308,6.645056726094004,0.0034188138419478102,0.008285388796089673
0,0.005,0.01,0.025041282497502884,11.66936790923825,5.510534846029174,0.0027542398100217557,0.008952345559459396
0,0.005,0.02,0.024836327466439552,10.372771474878444,5.186385737439222,0.0004142110424924091,0.0018218535321128007
0,0.01,0.0,0.02688507575178954,14.748784440842789,8.752025931928689,0.002757224690462395,0.008373356736288836
0,0.01,0.001,0.02630919740878191,13.776337115072934,7.293354943273905,0.002866900321972642,0.006433758199333234
0,0.01,0.005,0.025874187132166784,12.317666126418152,5.9967585089141,0.0017802043453681925,0.004327539169396265
0,0.01,0.01,0.025419399663041017,11.345218800648297,5.186385737439222,0.0011153775142107953,0.0038022542555552897
0,0.01,0.02,0.025430369516703293,7.779578606158834,4.376012965964344,0.0005651035860530845,0.0016769738251003288
0,0.015,0.0,0.026311385369274555,13.938411669367909,6.645056726094004,0.0014157310604881253,0.003499275075112821
0,0.015,0.001,0.025261519573583868,13.12803889789303,5.9967585089141,0.0010223589474702898,0.00271892444697176
0,0.015,0.005,0.02502060611236501,11.9935170178282,5.6726094003241485,0.000701318322463743,0.0026784252698697484
0,0.015,0.01,0.025259900979685227,11.507293354943274,5.348460291734198,0.0006972158855716785,0.002916848902014567
0,0.015,0.02,0.025373066182613015,8.103727714748784,4.538087520259319,0.001634448417738146,0.005392896167534551
0,0.02,0.0,0.025493311985796515,13.776337115072934,5.9967585089141,0.0009856082405380897,0.004122743887304957
0,0.02,0.001,0.025934166482460105,12.155591572123177,5.834683954619125,0.0007450344064720436,0.0024496263314735547
0,0.02,0.005,0.02500442378605173,11.345218800648297,4.700162074554295,0.0012375064525828184,0.003468765831310092
0,0.02,0.01,0.025859539883869857,9.562398703403566,4.051863857374392,0.0017541458504202062,0.004296922597034705
0,0.02,0.02,0.026772285989586624,6.807131280388978,4.213938411669368,0.002895957981302943,0.008449288459655415
0,0.025,0.0,0.026925205595110573,11.66936790923825,5.510534846029174,0.0010474846950918053,0.003491361522706821
0,0.025,0.001,0.02686094013776062,11.183144246353322,5.024311183144246,0.0004907150059999615,0.0016480494775966683
0,0.025,0.005,0.02698188864975759,9.886547811993516,4.051863857374392,0.00023926909090282158,0.0008200455632420357
0,0.025,0.01,0.027771542731209072,8.26580226904376,4.538087520259319,0.0007789722227337844,0.0035352177709293796
0,0.025,0.02,0.025550706104088557,5.9967585089141,3.889789303079417,0.0015499096576671964,0.006106538033669123
0,0.03,0.0,0.027358030326412784,11.507293354943274,6.482982171799027,0.00023373123837333736,0.0021862357484913665
0,0.03,0.001,0.026460168578649332,11.507293354943274,6.3209076175040515,0.00038750426043833376,0.0015782320156445594
0,0.03,0.005,0.02644176799127296,9.724473257698541,5.348460291734198,0.00031065317818673656,0.0009341135589122399
0,0.03,0.01,0.026509584059333628,6.807131280388978,4.538087520259319,0.0005933939532503963,0.0023498307817287254
0,0.03,0.02,0.027530194817776844,5.348460291734198,3.727714748784441,0.0027199085691980256,0.010824944561442947
0,0.035,0.0,0.02729782242894711,8.26580226904376,5.834683954619125,0.00021799272602486007,0.0018197199693708115
0,0.035,0.001,0.02641651151647411,9.076175040518638,4.862236628849271,0.0003218359062585041,0.0016231386014167817
0,0.035,0.005,0.026281933995941222,8.427876823338735,4.700162074554295,0.0007527969091226815,0.004079940052149039
0,0.035,0.01,0.025618023849512308,7.13128038897893,4.051863857374392,0.002265173806061001,0.011001793090161433
0,0.035,0.02,0.027177973286553463,6.3209076175040515,3.565640194489465,0.0021336220574943152,0.00884733132472333
0,0.04,0.0,0.02716882135655909,8.914100486223662,5.834683954619125,0.0011713281258521836,0.004794961776551452
0,0.04,0.001,0.026175373542220035,8.427876823338735,5.834683954619125,0.0013737536801139837,0.005323380240580415
0,0.04,0.005,0.026550996941396062,7.6175040518638575,5.186385737439222,0.0017246747042817475,0.006884281025961326
0,0.04,0.01,0.026870440445071093,6.482982171799027,3.889789303079417,0.0018792180586980486,0.007080841211278057
0,0.04,0.02,0.028998429694024407,6.3209076175040515,4.051863857374392,0.002164806269125602,0.00741498981054188
