,pc0,pc1,nmad,sigma_3,sigma_5,mean_res,max_res
0,0.0,0.0,0.024825675560928934,14.26256077795786,7.6175040518638575,0.004069594849197637,0.009400805078082221
0,0.0,0.001,0.024161601963708756,14.58670988654781,8.427876823338735,0.00744587422348339,0.021274976967526983
0,0.0,0.005,0.024352131838279722,12.965964343598054,6.158833063209076,0.004447887214959324,0.012040998138190175
0,0.0,0.01,0.023876244316681183,10.696920583468396,5.510534846029174,0.004127636226122568,0.011979700401846103
0,0.0,0.02,0.02255690642144267,8.26580226904376,5.186385737439222,0.00034483476216882726,0.0016020805018205275
0,0.005,0.0,0.024527597006413708,11.831442463533225,6.9692058346839545,0.0038305924123218375,0.011217149104647696
0,0.005,0.001,0.024651515958550245,11.507293354943274,6.9692058346839545,0.003923180515075726,0.01063721620077249
0,0.005,0.005,0.025449917196710335,10.372771474878444,5.348460291734198,0.0023515355210362706,0.005911531753429194
0,0.005,0.01,0.02424093959613654,9.562398703403566,5.024311183144246,0.0021859197933850037,0.006446926997773805
0,0.005,0.02,0.022320096898530307,8.427876823338735,4.213938411669368,0.00011028641863734718,0.0008841887758084147
0,0.01,0.0,0.024180640569638277,13.290113452188008,7.13128038897893,0.0023407300156700617,0.00677027170503578
0,0.01,0.001,0.023992570867365573,11.021069692058347,5.6726094003241485,0.0018451492798313557,0.005961931578989946
0,0.01,0.005,0.02399076345745148,9.076175040518638,5.186385737439222,0.0010978889388408792,0.0028982993041196743
0,0.01,0.01,0.02315874186086536,8.589951377633712,4.538087520259319,0.00063111152754541,0.002386510271693207
0,0.01,0.02,0.02406976083129156,6.9692058346839545,3.889789303079417,0.0006303391479060997,0.00277641449288432
0,0.015,0.0,0.024660699631129622,10.372771474878444,5.6726094003241485,0.0011314418321615354,0.0027226605501806615
0,0.015,0.001,0.02485405736916451,10.21069692058347,5.024311183144246,0.0005905708574342649,0.001731016204744574
0,0.015,0.005,0.022569431444810144,10.372771474878444,5.186385737439222,0.00043783002497739586,0.0021223748455622238
0,0.015,0.01,0.02256846828882411,8.914100486223662,4.538087520259319,0.0006597758867759233,0.0026667645548943187
0,0.015,0.02,0.023983379475891645,6.645056726094004,4.376012965964344,0.0017449756743188748,0.006600082824997023
0,0.02,0.0,0.023601466203310193,11.345218800648297,5.348460291734198,0.0008236587733671406,0.0029053778098697995
0,0.02,0.001,0.02387508986860868,11.183144246353322,5.348460291734198,0.0005793800718784044,0.0031450862994888314
0,0.02,0.005,0.02340087647134759,9.562398703403566,4.862236628849271,0.0011964876438365062,0.00388026021513769
0,0.02,0.01,0.02424153824238075,8.427876823338735,4.213938411669368,0.001815936897478271,0.004377918249427508
0,0.02,0.02,0.024647002621722872,6.3209076175040515,3.889789303079417,0.003026961008405229,0.011298434388116722
0,0.025,0.0,0.024532953997871244,9.724473257698541,4.862236628849271,0.0011511893237096413,0.002924022092332055
0,0.025,0.001,0.024546050989300475,9.886547811993516,5.186385737439222,0.0005457384089496864,0.001895123471499879
0,0.025,0.005,0.024854534075678957,8.26580226904376,5.348460291734198,0.00032907887950161976,0.0018456112375017314
0,0.025,0.01,0.02564566221870162,8.103727714748784,4.700162074554295,0.0009064529306698274,0.0038166849987946224
0,0.025,0.02,0.026490766632066953,5.834683954619125,4.051863857374392,0.0015116721093387027,0.00582427355312164
0,0.03,0.0,0.0246581481094959,9.40032414910859,6.158833063209076,0.00026368571398007146,0.0018423795482693094
0,0.03,0.001,0.024286548754734922,8.589951377633712,5.834683954619125,0.0003305580404800015,0.0019213965136677831
0,0.03,0.005,0.024627418125138252,8.427876823338735,5.186385737439222,0.00047944364870603005,0.0021460492364399134
0,0.03,0.01,0.024250230627599238,6.645056726094004,4.862236628849271,0.0009500660374152876,0.005189723581407788
0,0.03,0.02,0.026485462883022323,5.348460291734198,3.889789303079417,0.0026142268968691804,0.011479409086400239
0,0.035,0.0,0.025811224408009276,7.6175040518638575,5.186385737439222,0.00035534123133390457,0.0016180924182911587
0,0.035,0.001,0.02592177891377367,6.9692058346839545,5.348460291734198,0.00038863643144241536,0.0017811600214183718
0,0.035,0.005,0.0247064773868091,6.482982171799027,4.538087520259319,0.0009876285733011834,0.004748584282217883
0,0.035,0.01,0.026418183191815034,6.645056726094004,4.051863857374392,0.001936069177676221,0.008111500621494279
0,0.035,0.02,0.02740768101529944,5.348460291734198,3.2414910858995136,0.0024211533407102292,0.009240646650699567
0,0.04,0.0,0.025991687272590158,7.455429497568882,4.862236628849271,0.0009688215280635919,0.004795171374145003
0,0.04,0.001,0.02609929609558815,6.807131280388978,4.862236628849271,0.0010283629518889896,0.004367347034796607
0,0.04,0.005,0.025896732245832048,6.158833063209076,4.213938411669368,0.00147307500362424,0.005190277846283046
0,0.04,0.01,0.02669409002508053,5.6726094003241485,3.565640194489465,0.0021483136831024325,0.0060113392035048025
0,0.04,0.02,0.027088789630948455,5.348460291734198,3.079416531604538,0.002899404381854343,0.008792427702540392
