,pc0,pc1,nmad,sigma_3,sigma_5,mean_res,max_res
0,0.019,0.0,0.037691038637672716,10.85899513776337,5.510534846029174,0.0005435889332969144,0.002476984608397268
0,0.02,0.0,0.03755819449799368,10.85899513776337,6.3209076175040515,0.00040422638552326196,0.0014837361483815207
0,0.021,0.0,0.03801317928259242,11.021069692058347,6.158833063209076,0.00030248191004133174,0.0009095351773888004
0,0.022,0.0,0.037093906063631166,11.021069692058347,6.807131280388978,0.0002998341120334104,0.0012977183991232614
0,0.023,0.0,0.038028099511333666,10.048622366288493,5.9967585089141,0.000304319677764504,0.0011626085298359725
0,0.024,0.0,0.038302473253986676,11.021069692058347,6.3209076175040515,0.000268894799681889,0.0008128371932442647
0,0.025,0.0,0.03744178858829374,10.696920583468396,6.807131280388978,0.00012474889994976268,0.0006659036003781219
0,0.026,0.0,0.03924352877735378,10.696920583468396,6.645056726094004,0.00012811155227680047,0.000604584159435863
0,0.027,0.0,0.03804238162878797,11.345218800648297,6.645056726094004,0.00011820328075060662,0.0007815663522313037
0,0.028,0.0,0.03815378297382506,11.183144246353322,6.482982171799027,0.00016225259899217264,0.0008131663191874837
