,pc0,pc1,nmad,sigma_3,sigma_5,mean_res,max_res
0,0.019,0.0,0.02946169522594003,8.589951377633712,5.024311183144246,0.00034495020596985994,0.0015694050442157526
0,0.02,0.0,0.03045641769001628,8.427876823338735,5.024311183144246,0.00028105376023321494,0.001190976161033016
0,0.021,0.0,0.02966181094994553,8.427876823338735,4.862236628849271,0.00018176438548181965,0.0011345864624053563
0,0.022,0.0,0.030357558005885518,8.589951377633712,5.024311183144246,0.0001900191424899845,0.000781487652536164
0,0.023,0.0,0.03048229619771722,8.26580226904376,4.213938411669368,0.00016141955140245746,0.0007256814875742976
0,0.024,0.0,0.030555521552201155,8.589951377633712,4.700162074554295,0.00014127624291661447,0.0006445133637961141
0,0.025,0.0,0.030193586886750196,9.076175040518638,5.186385737439222,0.00010763445994117296,0.0005408589362559054
0,0.026,0.0,0.029163821101592442,8.914100486223662,5.510534846029174,8.510958710113537e-05,0.0005536848275749476
0,0.027,0.0,0.030854151145235174,9.562398703403566,5.348460291734198,0.00011894107982883446,0.0007108981942221497
0,0.028,0.0,0.029968715453802322,9.238249594813615,5.510534846029174,0.0001306654335683212,0.0006095863687829691
