,dataset_size,nmad,sigma_3,sigma_5,mean_res,max_res
0,1859.0,0.024951303265987698,11.021069692058347,4.213938411669368,0.0027524904285087482,0.007169654642219921
0,1766.0,0.02303700154178241,8.752025931928689,4.862236628849271,0.002947730442843739,0.009189911305516033
0,1673.0,0.024923587024968386,14.100486223662884,7.779578606158834,0.003567454042849147,0.00924519245473937
0,1580.0,0.024461762486755932,10.372771474878444,5.024311183144246,0.00559155349770852,0.014815102747942606
0,1487.0,0.02568333793493652,9.724473257698541,4.376012965964344,0.0028089877574320977,0.006801280642068039
0,1394.0,0.02442975507212033,11.831442463533225,5.9967585089141,0.004421060018008881,0.013215905586785679
0,1301.0,0.026353365766674637,16.207455429497568,8.914100486223662,0.004037520356957261,0.009829355167014836
0,1208.0,0.025086722305136516,15.07293354943274,7.293354943273905,0.006632094933067393,0.020892376104099334
0,1115.0,0.025880121885086694,15.883306320907616,9.40032414910859,0.004671903100294724,0.0143945850336184
0,1022.0,0.028484507977385397,15.07293354943274,7.455429497568882,0.005752460189824817,0.014396686444754845
0,929.0,0.026867853336741625,15.721231766612643,9.40032414910859,0.004172037010514744,0.01014355640656199
0,836.0,0.027330331330663486,21.661237785016286,12.214983713355048,0.005540093037480719,0.015987544384521664
0,743.0,0.026885306081420986,19.124797406807133,10.85899513776337,0.005000069254749364,0.012462533425587171
0,650.0,0.026164442423487633,19.124797406807133,9.238249594813615,0.008135451237641018,0.0214684181635055
0,557.0,0.029295247770176638,21.06969205834684,12.479740680713128,0.006725574082580629,0.018175570760574005
0,464.0,0.03309122501075951,27.876823338735818,16.85575364667747,0.00821340222488674,0.02390842981070628
0,371.0,0.033598344724828484,30.14586709886548,15.235008103727715,0.010261863727428653,0.025982616593703784
0,278.0,0.033401802601053715,33.00813008130081,18.3739837398374,0.017208877162476714,0.039519424980711954
0,185.0,0.03870948627984039,41.36807817589577,27.19869706840391,0.02006263715149368,0.0469656351713992
0,92.0,0.04749689504226474,60.526315789473685,44.40789473684211,0.03407867685318079,0.0927186448319225
0,60.0,0.06655829025427068,66.9918699186992,52.03252032520326,0.041728882979868154,0.1181110409054499
0,60.0,0.06655829025427068,66.9918699186992,52.03252032520326,0.041728882979868154,0.1181110409054499
0,40.0,0.10858201604155601,69.7560975609756,61.6260162601626,0.06740477653292697,0.23059384777577754
0,20.0,0.1212901522790838,70.89430894308944,63.739837398373986,0.04832839815743786,0.1366942950169193
0,1859.0,0.024951303265987698,11.021069692058347,4.213938411669368,0.0027524904285087482,0.007169654642219921
0,1766.0,0.02303700154178241,8.752025931928689,4.862236628849271,0.002947730442843739,0.009189911305516033
0,1673.0,0.024923587024968386,14.100486223662884,7.779578606158834,0.003567454042849147,0.00924519245473937
0,1580.0,0.024461762486755932,10.372771474878444,5.024311183144246,0.00559155349770852,0.014815102747942606
0,1487.0,0.02568333793493652,9.724473257698541,4.376012965964344,0.0028089877574320977,0.006801280642068039
0,1394.0,0.02442975507212033,11.831442463533225,5.9967585089141,0.004421060018008881,0.013215905586785679
0,1301.0,0.026353365766674637,16.207455429497568,8.914100486223662,0.004037520356957261,0.009829355167014836
0,1208.0,0.025086722305136516,15.07293354943274,7.293354943273905,0.006632094933067393,0.020892376104099334
0,1115.0,0.025880121885086694,15.883306320907616,9.40032414910859,0.004671903100294724,0.0143945850336184
0,1022.0,0.028484507977385397,15.07293354943274,7.455429497568882,0.005752460189824817,0.014396686444754845
0,929.0,0.026867853336741625,15.721231766612643,9.40032414910859,0.004172037010514744,0.01014355640656199
0,836.0,0.027330331330663486,21.661237785016286,12.214983713355048,0.005540093037480719,0.015987544384521664
0,743.0,0.026885306081420986,19.124797406807133,10.85899513776337,0.005000069254749364,0.012462533425587171
0,650.0,0.026164442423487633,19.124797406807133,9.238249594813615,0.008135451237641018,0.0214684181635055
0,557.0,0.029295247770176638,21.06969205834684,12.479740680713128,0.006725574082580629,0.018175570760574005
0,464.0,0.03309122501075951,27.876823338735818,16.85575364667747,0.00821340222488674,0.02390842981070628
0,371.0,0.033598344724828484,30.14586709886548,15.235008103727715,0.010261863727428653,0.025982616593703784
0,278.0,0.033401802601053715,33.00813008130081,18.3739837398374,0.017208877162476714,0.039519424980711954
0,185.0,0.03870948627984039,41.36807817589577,27.19869706840391,0.02006263715149368,0.0469656351713992
0,92.0,0.04749689504226474,60.526315789473685,44.40789473684211,0.03407867685318079,0.0927186448319225
0,60.0,0.06655829025427068,66.9918699186992,52.03252032520326,0.041728882979868154,0.1181110409054499
0,40.0,0.08573653651959877,76.71009771986971,65.63517915309446,0.06184600112887488,0.19347137862599054
0,20.0,0.1212901522790838,70.89430894308944,63.739837398373986,0.04832839815743786,0.1366942950169193
0,1859.0,0.024951303265987698,11.021069692058347,4.213938411669368,0.0027524904285087482,0.007169654642219921
0,1766.0,0.02303700154178241,8.752025931928689,4.862236628849271,0.002947730442843739,0.009189911305516033
0,1673.0,0.024923587024968386,14.100486223662884,7.779578606158834,0.003567454042849147,0.00924519245473937
0,1580.0,0.024461762486755932,10.372771474878444,5.024311183144246,0.00559155349770852,0.014815102747942606
0,1487.0,0.02568333793493652,9.724473257698541,4.376012965964344,0.0028089877574320977,0.006801280642068039
0,1394.0,0.02442975507212033,11.831442463533225,5.9967585089141,0.004421060018008881,0.013215905586785679
0,1301.0,0.026353365766674637,16.207455429497568,8.914100486223662,0.004037520356957261,0.009829355167014836
0,1208.0,0.025086722305136516,15.07293354943274,7.293354943273905,0.006632094933067393,0.020892376104099334
0,1115.0,0.025880121885086694,15.883306320907616,9.40032414910859,0.004671903100294724,0.0143945850336184
0,1022.0,0.028484507977385397,15.07293354943274,7.455429497568882,0.005752460189824817,0.014396686444754845
0,929.0,0.026867853336741625,15.721231766612643,9.40032414910859,0.004172037010514744,0.01014355640656199
0,836.0,0.027330331330663486,21.661237785016286,12.214983713355048,0.005540093037480719,0.015987544384521664
0,743.0,0.026885306081420986,19.124797406807133,10.85899513776337,0.005000069254749364,0.012462533425587171
0,650.0,0.026164442423487633,19.124797406807133,9.238249594813615,0.008135451237641018,0.0214684181635055
0,557.0,0.029295247770176638,21.06969205834684,12.479740680713128,0.006725574082580629,0.018175570760574005
0,464.0,0.03309122501075951,27.876823338735818,16.85575364667747,0.00821340222488674,0.02390842981070628
0,371.0,0.033598344724828484,30.14586709886548,15.235008103727715,0.010261863727428653,0.025982616593703784
0,278.0,0.033401802601053715,33.00813008130081,18.3739837398374,0.017208877162476714,0.039519424980711954
0,185.0,0.03870948627984039,41.36807817589577,27.19869706840391,0.02006263715149368,0.0469656351713992
0,92.0,0.04749689504226474,60.526315789473685,44.40789473684211,0.03407867685318079,0.0927186448319225
0,60.0,0.06655829025427068,66.9918699186992,52.03252032520326,0.041728882979868154,0.1181110409054499
0,40.0,0.08573653651959877,76.71009771986971,65.63517915309446,0.06184600112887488,0.19347137862599054
0,20.0,0.1212901522790838,70.89430894308944,63.739837398373986,0.04832839815743786,0.1366942950169193
0,1859.0,0.024951303265987698,11.021069692058347,4.213938411669368,0.0027524904285087482,0.007169654642219921
0,1766.0,0.02303700154178241,8.752025931928689,4.862236628849271,0.002947730442843739,0.009189911305516033
0,1673.0,0.024923587024968386,14.100486223662884,7.779578606158834,0.003567454042849147,0.00924519245473937
0,1580.0,0.024461762486755932,10.372771474878444,5.024311183144246,0.00559155349770852,0.014815102747942606
0,1487.0,0.02568333793493652,9.724473257698541,4.376012965964344,0.0028089877574320977,0.006801280642068039
0,1394.0,0.02442975507212033,11.831442463533225,5.9967585089141,0.004421060018008881,0.013215905586785679
0,1301.0,0.026353365766674637,16.207455429497568,8.914100486223662,0.004037520356957261,0.009829355167014836
0,1208.0,0.025086722305136516,15.07293354943274,7.293354943273905,0.006632094933067393,0.020892376104099334
0,1115.0,0.025880121885086694,15.883306320907616,9.40032414910859,0.004671903100294724,0.0143945850336184
0,1022.0,0.028484507977385397,15.07293354943274,7.455429497568882,0.005752460189824817,0.014396686444754845
0,929.0,0.026867853336741625,15.721231766612643,9.40032414910859,0.004172037010514744,0.01014355640656199
0,836.0,0.027330331330663486,21.661237785016286,12.214983713355048,0.005540093037480719,0.015987544384521664
0,743.0,0.026885306081420986,19.124797406807133,10.85899513776337,0.005000069254749364,0.012462533425587171
0,650.0,0.026164442423487633,19.124797406807133,9.238249594813615,0.008135451237641018,0.0214684181635055
0,557.0,0.029295247770176638,21.06969205834684,12.479740680713128,0.006725574082580629,0.018175570760574005
0,464.0,0.03309122501075951,27.876823338735818,16.85575364667747,0.00821340222488674,0.02390842981070628
0,371.0,0.033598344724828484,30.14586709886548,15.235008103727715,0.010261863727428653,0.025982616593703784
0,278.0,0.033401802601053715,33.00813008130081,18.3739837398374,0.017208877162476714,0.039519424980711954
0,185.0,0.03870948627984039,41.36807817589577,27.19869706840391,0.02006263715149368,0.0469656351713992
0,92.0,0.04749689504226474,60.526315789473685,44.40789473684211,0.03407867685318079,0.0927186448319225
0,60.0,0.06655829025427068,66.9918699186992,52.03252032520326,0.041728882979868154,0.1181110409054499
0,40.0,0.08573653651959877,76.71009771986971,65.63517915309446,0.06184600112887488,0.19347137862599054
0,20.0,0.1212901522790838,70.89430894308944,63.739837398373986,0.04832839815743786,0.1366942950169193
0,1859.0,0.024951303265987698,11.021069692058347,4.213938411669368,0.0027524904285087482,0.007169654642219921
0,1766.0,0.02303700154178241,8.752025931928689,4.862236628849271,0.002947730442843739,0.009189911305516033
0,1673.0,0.024923587024968386,14.100486223662884,7.779578606158834,0.003567454042849147,0.00924519245473937
0,1580.0,0.024461762486755932,10.372771474878444,5.024311183144246,0.00559155349770852,0.014815102747942606
0,1487.0,0.02568333793493652,9.724473257698541,4.376012965964344,0.0028089877574320977,0.006801280642068039
0,1394.0,0.02442975507212033,11.831442463533225,5.9967585089141,0.004421060018008881,0.013215905586785679
0,1301.0,0.026353365766674637,16.207455429497568,8.914100486223662,0.004037520356957261,0.009829355167014836
0,1208.0,0.025086722305136516,15.07293354943274,7.293354943273905,0.006632094933067393,0.020892376104099334
0,1115.0,0.025880121885086694,15.883306320907616,9.40032414910859,0.004671903100294724,0.0143945850336184
0,1022.0,0.028484507977385397,15.07293354943274,7.455429497568882,0.005752460189824817,0.014396686444754845
0,929.0,0.026867853336741625,15.721231766612643,9.40032414910859,0.004172037010514744,0.01014355640656199
0,836.0,0.027330331330663486,21.661237785016286,12.214983713355048,0.005540093037480719,0.015987544384521664
0,743.0,0.026885306081420986,19.124797406807133,10.85899513776337,0.005000069254749364,0.012462533425587171
0,650.0,0.026164442423487633,19.124797406807133,9.238249594813615,0.008135451237641018,0.0214684181635055
0,557.0,0.029295247770176638,21.06969205834684,12.479740680713128,0.006725574082580629,0.018175570760574005
0,464.0,0.03309122501075951,27.876823338735818,16.85575364667747,0.00821340222488674,0.02390842981070628
0,371.0,0.033598344724828484,30.14586709886548,15.235008103727715,0.010261863727428653,0.025982616593703784
0,278.0,0.033401802601053715,33.00813008130081,18.3739837398374,0.017208877162476714,0.039519424980711954
0,185.0,0.03870948627984039,41.36807817589577,27.19869706840391,0.02006263715149368,0.0469656351713992
0,92.0,0.04749689504226474,60.526315789473685,44.40789473684211,0.03407867685318079,0.0927186448319225
0,60.0,0.06655829025427068,66.9918699186992,52.03252032520326,0.041728882979868154,0.1181110409054499
0,40.0,0.08573653651959877,76.71009771986971,65.63517915309446,0.06184600112887488,0.19347137862599054
0,20.0,0.1212901522790838,70.89430894308944,63.739837398373986,0.04832839815743786,0.1366942950169193
0,1859.0,0.024951303265987698,11.021069692058347,4.213938411669368,0.0027524904285087482,0.007169654642219921
0,1766.0,0.02303700154178241,8.752025931928689,4.862236628849271,0.002947730442843739,0.009189911305516033
0,1673.0,0.024923587024968386,14.100486223662884,7.779578606158834,0.003567454042849147,0.00924519245473937
0,1580.0,0.024461762486755932,10.372771474878444,5.024311183144246,0.00559155349770852,0.014815102747942606
0,1487.0,0.02568333793493652,9.724473257698541,4.376012965964344,0.0028089877574320977,0.006801280642068039
0,1394.0,0.02442975507212033,11.831442463533225,5.9967585089141,0.004421060018008881,0.013215905586785679
0,1301.0,0.026353365766674637,16.207455429497568,8.914100486223662,0.004037520356957261,0.009829355167014836
0,1208.0,0.025086722305136516,15.07293354943274,7.293354943273905,0.006632094933067393,0.020892376104099334
0,1115.0,0.025880121885086694,15.883306320907616,9.40032414910859,0.004671903100294724,0.0143945850336184
0,1022.0,0.028484507977385397,15.07293354943274,7.455429497568882,0.005752460189824817,0.014396686444754845
0,929.0,0.026867853336741625,15.721231766612643,9.40032414910859,0.004172037010514744,0.01014355640656199
0,836.0,0.027330331330663486,21.661237785016286,12.214983713355048,0.005540093037480719,0.015987544384521664
